,0
0,Idaho
1,Minnesota
2,Wyoming
3,Nebraska
4,Illinois
5,North Dakota
6,New Mexico
7,Oklahoma
8,Connecticut
9,Arkansas
10,Iowa
11,Oregon
12,Delaware
13,Virginia
14,West Virginia
15,Michigan
16,Montana
17,Kentucky
18,New Jersey
19,South Carolina
20,Wisconsin
21,California
22,New York
23,Florida
24,Washington
25,Colorado
26,Missouri
27,Hawaii
28,Georgia
29,Rhode Island
30,Tennessee
31,Vermont
32,New Hampshire
33,Utah
34,Maryland
35,Arizona
36,Mississippi
37,Pennsylvania
38,Indiana
39,South Dakota
40,Alaska
41,North Carolina
42,Louisiana
43,Maine
44,Massachusetts
